COMMODITY,Description
10101501,Cats
10101502,Dogs
10101504,Mink
10101505,Rats
10101506,Horses
10101507,Sheep
10101508,Goats
10101509,Asses
10101510,Mice
10101511,Swine
10101512,Rabbits
10101513,Guinea pigs
10101514,Primates
10101515,Armadillos
10101516,Cattle
10101517,Camels
10101518,Alpaca
10101519,Buffalo or bison
10101520,Llama
10101601,Live chickens
10101602,Live ducks
10101603,Live turkeys
10101604,Live geese
10101605,Live pheasants
10101606,Live ostrich
10101607,Live guinea fowl
10101701,Live salmon
10101702,Live trout
10101703,Live tilapia
10101704,Live carp
10101705,Live eels
10101706,Live sole
10101707,Live palometa fish or mylossoma aureum
10101708,Live sardine fish
10101709,Live red belly pacu fish
10101710,Live peruvian rock seabass fish
10101711,Live paiche fish
10101712,Live mojarra fish
10101713,Live mauri fish
10101714,Live maparate fish
10101715,Live lumptail sea robin fish
10101716,Live llambina fish
10101717,Live ispi fish
10101718,Live frigate tuna fish or melva fish
10101719,Live freshwater silverside fish
10101720,Live acarahuazu fish
10101721,Live arawana fish
10101722,Live armored catfish or carachama
10101723,Live black prochilodus
10101724,Live blochs catfish
10101725,Live bobo mullet
10101726,Live cabinza grunt
10101727,Live carachi fish
10101728,Live cascafe fish
10101729,Live freshwater palometa fish or mylossoma duriventre
10101730,Live goldfish
10101731,Live swordfish
10101732,Live tambaqui
10101801,Live shrimp
10101802,Live clams
10101803,Live mussels
10101804,Live oysters
10101805,Live crabs
10101806,Live abalone
10101807,Live octopi
10101808,Live squid
10101809,Leeches
10101810,Live sponge
10101811,Live lobster
10101901,Butterflies
10101902,Beetles
10101903,Bees
10101904,Silkworms
10101905,Live chilean recluse spider
10101906,Live aphid lion or chrysoperla externa
10101907,Live insidious flower bug
10101908,Live southern black widow
10101909,Live sugarcane borer or stem borer
10102001,Elephants
10102002,Live foxes
10102003,Live bothrops pit viper snake
10102004,Live chironius or vine snake
10102005,Live clelia or mussurana snake
10102006,Live drymarchon or indigo snake
10102007,Live epicrates or rainbow boa snake
10102008,Live giraffe
10102009,Live bushmaster or lachesis snake
10102010,Live coral or micrurus snake
10102011,Live paca
10102012,Live philodryas snake
10102013,Live xenodon snake
10102014,Live hyenas
10102015,Live kangaroo
10102016,Live caracals
10102017,Live monkeys
10102018,Live bats
10102019,Live seal
10102101,Chicken hatching eggs
10102102,Turkey hatching eggs
10102103,Goose hatching eggs
10102104,Pheasant hatching eggs
10102105,Ostrich hatching eggs
10102106,Guinea fowl hatching eggs
10102107,Duck hatching eggs
10111301,Pet toys
10111302,Pet grooming products
10111303,Pet litter or equipment for pet waste management
10111304,Pet food bowls or equipment
10111305,Medicated pet treatments
10111306,Domestic pet training kits
10111307,Pet blankets
10111308,Bird bath
10121501,Pure wheat bran
10121502,Feed oats
10121503,Feed corn
10121504,Feed sorghum
10121505,Hay
10121506,Oil cake
10121507,Compound feed
10121508,Feed alfalfa or lucerne meal or pellets
10121509,Livestock salt
10121601,Live food for birds
10121602,Bird seed
10121603,Bird treats or snacks
10121604,Poultry food
10121701,Fresh or frozen brine
10121702,Fish food pellets
10121703,Fish food flakes
10121801,Dry food for dogs
10121802,Moist food for dogs
10121803,Milk for dogs or cats
10121804,Dry food for cats
10121805,Moist food for cats
10121806,Treats or snacks for cats or dogs
10121901,Pelletized food for rodents
10122001,Pelletized food for reptiles
10122002,Moist food for reptiles
10122003,Live food for reptiles
10122101,Pig food
10122102,Mink food
10122103,Monkey food
10122104,Rabbit food
10131506,Livestock stables
10131507,Domesticized pet houses
10131508,Pet beds
10131601,Cages or its accessories
10131602,Kennels
10131603,Animal carrying cases
10131604,Dog runs
10131605,Animal transport cage
10131606,Animal catching device
10131607,Animal tranquilizing dart
10131608,Animal tranquilizing dart accessories
10131701,Terrariums
10131702,Aquariums
10141501,Saddles
10141502,Whips
10141503,Horseshoes
10141504,Muleshoes
10141505,Saddle pad
10141601,Bridles
10141602,Yokes
10141603,Horse bits
10141604,Reins
10141605,Stirrups
10141606,Leashes or leads
10141607,Animal collars
10141608,Harnesses or its accessories
10141609,Restraints
10141610,Muzzles
10141611,Leash holders
10141612,Dog catching pole
10151503,Celery seeds or seedlings
10151504,Chili seeds or seedlings
10151505,Courgette seeds or seedlings
10151506,Pea seeds or seedlings
10151507,Cucumber seeds or seedlings
10151508,Eggplant seeds or seedlings
10151509,Endive seeds or seedlings
10151510,Garlic seeds or seedlings
10151511,Leek seeds or seedlings
10151512,Lettuce seeds or seedlings
10151513,Corn seeds or seedlings
10151514,Melon seeds or seedlings
10151515,Onion seeds or seedlings
10151517,Spinach seeds or seedlings
10151518,Tomato seeds or seedlings
10151520,Chard seeds or seedlings
10151521,Sweet pepper seeds or seedlings
10151522,Beet seeds or seedlings
10151523,Cauliflower seeds or seedlings
10151524,Parsley seeds or seedlings
10151525,Broccoli seeds or seedlings
10151526,Cabbage seeds or seedlings
10151529,Pumpkin seeds or seedlings
10151531,Brussel sprout seeds or seedlings
10151532,Squash seeds or seedlings
10151533,Okra seeds or seedlings
10151534,Cantaloupe seeds or seedlings
10151535,Peanut seeds or seedlings
10151536,Caigua seeds or seedlings
10151537,Asparagus seeds or seedlings
10151538,Chickpea seeds or seedlings
10151539,Fava or broad bean seeds or seedlings
10151540,Centrocema or butterfly pea seed or seedlings
10151541,Nettle seed or seedlings
10151542,Tarwi seed or seedlings
10151543,Lentil seed or seedlings
10151544,Pallar seed or seedlings
10151601,Wheat seeds
10151602,Colza seeds
10151603,Barley seeds
10151604,Millet seeds
10151605,Oat seeds
10151606,Sesame seeds
10151607,Linseed seeds
10151608,Castor oil seeds
10151609,Maize seeds
10151610,Rye seeds
10151611,Sorghum seeds
10151612,Kiwicha seeds or seedlings
10151613,Quinoa seeds or seedlings
10151614,Rice seeds or seedlings
10151615,Safflower seed
10151616,Teff seed
10151617,Sugar cane seed or cutting
10151702,Clover seeds or seedling
10151703,Alfalfa seeds or seedlings
10151704,Grass seeds or seedlings
